code,name,dem_2020,rep_2020,other_2020,reg_2020,dem_2016,rep_2016,other_2016,reg_2016,dem_2012,rep_2012,other_2012,reg_2012,dem_2008,rep_2008,other_2008,reg_2008,rep_2004,dem_2004,other_2004,reg_2004
VA_053,Greene County,4163,6866,282,14395,2924,5945,739,13133,3290,5569,164,12383,3174,4980,106,11068,4570,2240,129,9736
VA_054,Greensville County,2627,1914,33,6407,2558,1737,68,6706,3135,1766,25,6821,3122,1729,36,6698,1732,2514,12,6310
VA_055,Halifax County,7666,10418,164,24582,6897,9704,400,24272,7766,8694,232,24025,8126,8600,124,23097,8363,6220,73,21080
VA_056,Hampton City,46220,18430,1251,99375,41312,17902,3142,96011,46966,18640,916,97336,46917,20476,550,91412,23399,32016,326,80941
VA_057,Hanover County,25307,44318,1342,84140,19382,39630,3741,77381,18294,39940,917,71831,18447,37344,457,67814,35404,13941,266,61936
VA_058,Harrisonburg City,11022,5591,473,26076,10212,6262,1519,28569,8654,6565,374,24550,8444,6048,183,20762,6165,4726,139,16701
VA_059,Henrico County,116572,63440,3140,236922,93935,59857,9862,222062,89594,70449,2743,211811,86323,67381,1262,196192,71809,60864,745,177965
VA_060,Henry County,9127,16725,253,36079,8198,15208,700,35635,10317,13984,662,36225,11118,13758,339,36120,13358,9851,249,34453
VA_061,Highland County,417,1092,24,1851,371,958,62,1796,459,924,30,1778,590,930,34,1922,982,522,16,1987
VA_062,Hopewell City,5430,4020,158,15217,4724,3885,399,14627,5179,3739,113,14083,5285,4149,90,13692,4251,3573,112,12802
VA_063,Isle of Wight County,9399,13707,350,29967,7881,12204,990,27745,8761,11802,266,27187,8573,11258,166,25399,9929,5871,71,21593
VA_064,James City County,25553,23153,916,61512,19105,21306,2762,56508,17879,22843,558,53263,17352,20912,339,48384,18949,11934,207,40303
VA_065,King and Queen County,1590,2450,75,5255,1468,2099,130,4938,1745,1865,45,4986,1918,1763,24,4841,1737,1506,43,4495
VA_066,King George County,5404,8446,374,18567,4007,7341,711,16330,4477,6604,248,15250,4473,5888,113,13531,5124,2739,58,10488
VA_067,King William County,3260,7320,156,13230,2760,5975,426,11744,3344,5466,115,11227,3344,4966,78,10462,4397,2436,39,9022
VA_068,Lancaster County,3368,3697,87,8936,2869,3523,253,8641,3149,3753,68,8840,3235,3647,56,8884,3724,2477,29,8245
VA_069,Lee County,1489,8365,92,15440,1627,7543,229,15845,2583,6847,168,16559,3219,5825,183,16219,5664,4005,101,15801
VA_070,Lexington City,1791,906,65,4223,1514,766,185,4325,1486,1146,57,4135,1543,914,22,3432,982,1340,27,3454
VA_071,Loudoun County,138372,82088,4402,282249,100795,69949,12353,239491,82479,75292,2326,210451,74845,63336,1278,179384,60382,47271,777,140065
VA_072,Louisa County,8269,13294,352,27290,6212,10528,891,23561,6953,9215,284,21944,6978,8182,193,20248,7083,4844,108,17039
VA_073,Lunenburg County,2418,3537,45,8061,2227,3204,155,7939,2684,2969,88,8045,2703,2900,47,7963,2858,2362,25,7437
VA_074,Lynchburg City,18048,17097,1218,55666,14792,17982,2897,57048,15948,19806,694,54435,16269,17638,434,47225,14400,11727,213,38849
VA_075,Madison County,2698,5300,131,9962,2203,4419,357,9155,2639,3869,109,9067,2862,3758,79,8786,3556,2176,40,7797
VA_076,Manassas City,10356,6256,356,23490,8423,5953,1035,23181,8478,6463,259,22120,7518,5975,134,19619,7257,5562,84,19009
VA_077,Manassas Park City,3992,1979,116,8766,3204,1733,295,7672,2879,1699,78,7164,2463,1634,43,6217,1807,1498,27,5391
VA_078,Martinsville City,3766,2165,82,8877,3533,2149,225,8990,3855,2312,118,9204,4139,2311,70,9223,2538,3036,29,8596
VA_079,Mathews County,1825,3901,100,7191,1563,3517,231,7105,1807,3488,79,7030,1934,3456,50,6941,3497,1589,43,6709
VA_080,Mecklenburg County,6803,9266,135,22331,6285,8288,372,22187,6921,7973,183,22216,7127,7817,138,21233,7319,5293,168,19181
VA_081,Middlesex County,2491,4196,98,8457,2108,3670,239,7898,2370,3619,91,7916,2391,3545,70,7831,3336,1914,127,7036
VA_082,Montgomery County,23218,20629,1190,62920,20021,19459,3551,61714,19903,20006,1100,61940,21031,19028,594,55850,17070,14128,317,45079
VA_083,Nelson County,4327,4812,177,11646,3689,4154,475,11236,4171,3947,132,10983,4391,3647,95,10718,3539,3543,57,9747
VA_084,New Kent County,4621,9631,211,17467,3546,8118,578,14963,3555,7246,205,13460,3493,6385,113,12125,5414,2443,89,10083
VA_085,Newport News City,53099,26377,1727,123230,45618,25468,4629,122314,51100,27230,1223,122017,51972,28667,656,117156,32208,35319,425,104095
VA_086,Norfolk City,64440,23443,1998,136642,57023,21552,4813,126651,62687,23147,1367,130298,62819,24814,813,124501,26401,43518,651,110167
VA_087,Northampton County,3667,2955,110,9478,3255,2686,231,9236,3741,2676,76,9176,3800,2713,73,9116,2669,2775,55,8575
VA_088,Northumberland County,3252,4485,78,9926,2852,4302,244,9593,3191,4310,57,9534,3312,4041,53,9280,3832,2548,29,8579
VA_089,Norton City,464,1109,28,2471,383,1021,56,2429,566,895,31,2594,743,744,25,2471,768,725,11,2507
VA_090,Nottoway County,2971,4027,80,9464,2829,3712,203,9477,3344,3409,93,9368,3413,3499,76,9299,3303,2635,92,8598
VA_091,Orange County,7995,12426,321,26753,5957,10521,792,24025,6870,9244,240,22795,7107,8506,188,21419,7749,5015,164,18361
VA_092,Page County,3007,9345,162,16642,2514,7831,395,15857,3724,6344,160,15607,4235,6041,113,15318,6221,3324,58,14131
VA_093,Patrick County,1954,7485,95,12667,1768,6454,303,12372,2417,5622,227,12299,2879,5491,161,11932,5507,2572,136,11138
VA_094,Petersburg City,12389,1584,145,22947,12021,1451,314,22537,14283,1527,126,22518,13774,1583,183,20891,2238,9682,29,18986
VA_095,Pittsylvania County,10115,23751,361,44808,9199,21554,845,43504,10858,19263,572,42952,11415,18730,288,41275,17673,9274,470,38705
VA_096,Poquoson City,2054,5605,198,9477,1601,5092,484,8991,1679,5312,115,9030,1748,5229,88,8791,5004,1424,52,8373
VA_097,Portsmouth City,30948,12755,879,66363,28497,12795,1973,65460,32501,12858,618,64945,32327,13984,354,62413,15212,24112,210,59332
VA_098,Powhatan County,5320,14055,355,23159,4060,11885,955,20942,4088,11200,240,19113,4237,10088,131,17753,8955,3112,96,15301
VA_099,Prince Edward County,4973,4434,167,13388,4591,4101,451,13672,5132,3952,155,14404,5101,4174,113,13479,3571,3632,113,11270
VA_100,Prince George County,7103,10103,226,24266,6419,9157,608,23213,6991,8879,176,22135,7130,8752,124,20658,8131,5066,57,18560
VA_101,Prince William County,142863,81222,3971,306784,113144,71721,11673,273775,103331,74458,2406,254643,93435,67621,1390,217689,69776,61271,1016,190210
VA_102,Pulaski County,4925,12127,324,23146,4172,10322,673,22063,5292,8920,468,21772,5918,8857,275,21359,8769,5310,172,20631
VA_103,Radford City,3358,2786,176,9713,2925,2638,522,9176,2732,2520,147,8330,2930,2418,81,7734,2564,2244,37,7247
VA_104,Rappahannock County,2096,2812,70,6078,1747,2539,197,5819,1980,2311,66,5776,2105,2227,73,5611,2172,1837,41,5255
VA_105,Richmond City,92175,16603,2381,159073,81259,15581,6644,148706,75921,20050,1767,133554,73623,18649,813,122808,21637,52167,521,104100
VA_106,Richmond County,1513,2547,42,5506,1347,2213,101,5093,1574,2160,36,5108,1618,2092,35,4976,2082,1243,36,4741
VA_107,Roanoke City,26773,15607,943,64430,22286,14789,2391,63423,24134,14991,1030,64565,24934,15394,444,61824,16661,18862,477,56540
VA_108,Roanoke County,21801,34268,1115,72199,17200,31408,2881,69014,18711,31624,882,68836,19812,30571,592,66464,30596,16082,295,61888
VA_109,Rockbridge County,4086,8088,199,15705,3508,6680,607,14603,4088,5898,192,14349,4347,5732,116,13658,5412,3627,142,12605
VA_110,Rockingham County,12644,30349,818,54711,9366,25990,2131,49617,10065,24186,615,46451,10453,22468,413,43351,21737,7273,206,38544
VA_111,Russell County,2373,10879,134,18974,2330,9521,395,18827,3718,8180,190,19598,4932,6389,173,18929,6077,5167,179,18833
VA_112,Salem City,5148,7683,220,17667,4202,7226,797,17083,4760,7299,259,17196,5164,7088,154,16481,7115,4254,115,15652
VA_113,Scott County,1692,9063,114,15741,1581,8247,272,15877,2395,7439,158,16232,2725,6980,170,16083,6479,3324,164,16184
VA_114,Shenandoah County,6836,16463,385,30996,5273,14094,1146,28346,6469,12538,366,27449,6912,12005,306,25847,11820,5186,140,23121
VA_115,Smyth County,3008,10963,165,19781,2665,9750,475,19653,4171,8379,227,19774,4239,7817,246,19174,7906,4143,270,18689
VA_116,Southampton County,3969,5730,87,12853,3595,5035,248,12546,4437,4733,94,12555,4402,4583,82,11996,4018,3431,43,10717
VA_117,Spotsylvania County,34307,39411,1599,99199,24207,34623,3732,88672,25165,31844,965,82201,24897,28610,562,75032,28527,16623,295,64449
VA_118,Stafford County,40245,37636,1744,105714,27908,33868,4158,90512,27182,32480,1026,83444,25716,29221,518,74825,28500,17208,278,65602
VA_119,Staunton City,6981,5695,314,17589,5333,5133,789,16382,5728,5272,210,15791,5569,5330,116,14813,5805,3756,68,13410
VA_120,Suffolk City,28676,20082,884,67515,23280,18006,1954,61029,24267,17820,479,58736,22446,17165,297,55090,16763,15233,193,46521
